question_id,equality_cv,equality_e26,distance_cv,distance_e26,ordered_pair_cv,ordered_pair_e26,unordered_matrix_cv,unordered_matrix_e26,missing_cv,missing_e26,equality_context_cv,equality_context_e26,ordered_context_cv,ordered_context_e26,unordered_context_cv,unordered_context_e26,notes
lifestyle_3,0.435,0.443,0.429,0.466,0.422,0.519,0.345,0.626,0.500,0.500,0.274,0.572,0.253,0.557,0.382,0.629,"ordered desired closeness/autonomy"
lifestyle_4,0.636,0.587,0.633,0.588,0.487,0.516,0.619,0.562,0.500,0.500,0.561,0.583,0.509,0.410,0.392,0.562,"ordered coordination preference"
lifestyle_5,0.493,0.436,0.511,0.417,0.387,0.457,0.334,0.462,0.500,0.500,0.532,0.437,0.425,0.424,0.395,0.405,"ordered activity/recharge caveat"
core_values_1,0.431,0.689,,,0.416,0.467,0.460,0.460,0.500,0.500,0.286,0.399,0.236,0.544,0.275,0.476,"nominal truth/loyalty judgment"
core_values_2,0.393,0.534,0.372,0.529,0.524,0.484,0.417,0.403,0.500,0.500,0.216,0.447,0.383,0.586,0.358,0.422,"ordered risk tolerance"
core_values_3,0.573,0.617,0.539,0.626,0.452,0.585,0.475,0.533,0.500,0.500,0.436,0.609,0.565,0.591,0.637,0.490,"partner-difference tolerance; counterpart differences incompletely observed"
core_values_4,0.502,0.545,0.492,0.549,0.391,0.607,0.538,0.566,0.500,0.500,0.537,0.519,0.456,0.654,0.419,0.567,"partner support requirement; supplied support absent"
core_values_5,0.530,0.519,0.526,0.524,0.433,0.395,0.415,0.669,0.500,0.500,0.450,0.456,0.340,0.337,0.398,0.458,"ordered autonomy/solidarity judgment"
communication_1,0.690,0.492,,,0.708,0.525,0.649,0.515,0.500,0.500,0.630,0.540,0.621,0.649,0.555,0.540,"nominal self conflict behavior"
communication_2,0.577,0.489,,,0.623,0.376,0.720,0.453,0.500,0.500,0.334,0.509,0.546,0.436,0.506,0.476,"nominal self need-expression behavior"
communication_3,0.473,0.341,,,0.424,0.616,0.483,0.604,0.500,0.500,0.342,0.491,0.272,0.559,0.360,0.496,"nominal self group-disagreement behavior"
communication_4,0.618,0.473,,,0.645,0.388,0.688,0.379,0.500,0.500,0.469,0.455,0.676,0.465,0.413,0.414,"nominal self stress-conflict behavior"
communication_5,0.527,0.485,,,0.389,0.519,0.534,0.500,0.500,0.500,0.302,0.554,0.266,0.615,0.306,0.537,"nominal self important-disagreement behavior"
conversational_role,0.446,0.576,,,0.295,0.547,0.297,0.487,0.500,0.500,0.316,0.581,0.342,0.364,0.330,0.549,"nominal supplied conversation role"
conversation_depth_pref,0.481,0.277,,,0.679,0.587,0.595,0.446,0.500,0.500,0.523,0.674,0.624,0.567,0.565,0.458,"nominal conversation preference"
vibe_4,0.418,0.417,0.417,0.437,0.606,0.645,0.608,0.513,0.500,0.500,0.562,0.580,0.596,0.587,0.482,0.504,"ordered/flexible legacy depth item"
social_battery,0.503,0.564,,,0.522,0.537,0.331,0.519,0.500,0.500,0.324,0.628,0.416,0.563,0.376,0.629,"nominal/binary energy response"
humor_subtype,0.608,0.568,,,0.634,0.456,0.648,0.513,0.500,0.500,0.464,0.504,0.640,0.470,0.652,0.513,"nominal humor taste"
curiosity_style,0.653,0.496,,,0.666,0.564,0.655,0.527,0.500,0.500,0.512,0.523,0.530,0.562,0.561,0.492,"mixed demand/supply; nominal"
intent_goal,0.451,0.405,,,0.593,0.566,0.545,0.460,0.500,0.500,0.355,0.418,0.557,0.545,0.512,0.460,"event goal; not relationship-type label"
silence_comfort,0.631,0.504,,,0.514,0.466,0.603,0.465,0.500,0.500,0.299,0.562,0.382,0.654,0.388,0.712,"nominal/binary silence response"
